consistency_rank,Gene_name,comparisons_present,min_detected_cells,median_detected_cells,mean_detected_cells,max_detected_cells,median_goal_shift,comparison_coverage
1,SFTPC,3,314,465.0,414.6666666666667,465,0.0472992901119493,0.5
2,HSPA1B,3,270,641.0,517.3333333333334,641,0.0140052259072963,0.5
3,BTG1,2,510,920.0,920.0,1330,0.00764574960373105,0.3333333333333333
4,SFTPA1,2,134,134.0,134.0,134,0.02667032528335025,0.3333333333333333
5,SFTPA2,2,131,131.0,131.0,131,0.0173040754623881,0.3333333333333333
6,SFTPB,2,126,132.0,132.0,138,0.01123816766448345,0.3333333333333333
7,HBB,2,116,147.0,147.0,178,0.0242331699855735,0.3333333333333333
8,IFNAR2,2,95,118.0,118.0,141,0.00557431903024265,0.3333333333333333
9,RAD50,2,87,92.5,92.5,98,0.00653927169898365,0.3333333333333333
10,HBA1,2,84,94.5,94.5,105,0.0340659379116481,0.3333333333333333
11,MGP,2,81,81.0,81.0,81,0.0250130611138395,0.3333333333333333
12,RAB4B,2,63,73.5,73.5,84,0.00942314574347125,0.3333333333333333
13,HBA2,2,34,84.5,84.5,135,0.047506937655074445,0.3333333333333333
14,FBLN1,2,32,32.0,32.0,32,0.07114788040053095,0.3333333333333333
15,S100A4,1,1135,1135.0,1135.0,1135,0.0057691143686156,0.16666666666666666
16,TXNIP,1,1053,1053.0,1053.0,1053,0.0451702681783116,0.16666666666666666
17,RPS26,1,960,960.0,960.0,960,0.0782506099965151,0.16666666666666666
18,DNAJB1,1,843,843.0,843.0,843,0.00561964373112,0.16666666666666666
19,RPL21,1,560,560.0,560.0,560,0.0117852657501186,0.16666666666666666
20,RPS27,1,560,560.0,560.0,560,0.0167713403967874,0.16666666666666666
21,PTMA,1,552,552.0,552.0,552,0.0058855950778377,0.16666666666666666
22,RPL27A,1,536,536.0,536.0,536,0.0075237385289215,0.16666666666666666
23,H3-3B,1,461,461.0,461.0,461,0.0050272652293492,0.16666666666666666
24,PNRC1,1,443,443.0,443.0,443,0.0049182510941077,0.16666666666666666
25,STEAP1B,1,433,433.0,433.0,433,0.0095800015447321,0.16666666666666666
26,CBX3,1,348,348.0,348.0,348,0.0049322428631371,0.16666666666666666
27,POLR2J3,1,335,335.0,335.0,335,0.0071838693331871,0.16666666666666666
28,GABPB1,1,248,248.0,248.0,248,0.0053838197096821,0.16666666666666666
29,EEF1G,1,196,196.0,196.0,196,0.0121687340112973,0.16666666666666666
30,SCGB3A1,1,176,176.0,176.0,176,0.0081809876931153,0.16666666666666666
31,PSMA6,1,156,156.0,156.0,156,0.0174060829270344,0.16666666666666666
32,UQCR11,1,156,156.0,156.0,156,0.0087494631417286,0.16666666666666666
33,S100A8,1,134,134.0,134.0,134,0.0704952435595775,0.16666666666666666
34,S100A9,1,134,134.0,134.0,134,0.0284899343500164,0.16666666666666666
35,SCGB3A2,1,100,100.0,100.0,100,0.0083291719108819,0.16666666666666666
36,NAPSA,1,99,99.0,99.0,99,0.0098478946496139,0.16666666666666666
37,LYZ,1,92,92.0,92.0,92,0.0088443872721298,0.16666666666666666
38,ARL6IP1,1,74,74.0,74.0,74,0.0068517516593675,0.16666666666666666
39,WFDC2,1,72,72.0,72.0,72,0.0100995051001922,0.16666666666666666
40,NDUFB8,1,66,66.0,66.0,66,0.0073461762883446,0.16666666666666666
41,NME2,1,65,65.0,65.0,65,0.0059556850733665,0.16666666666666666
42,H1-10,1,63,63.0,63.0,63,0.0057801417415104,0.16666666666666666
43,PABPC3,1,62,62.0,62.0,62,0.0062251014094198,0.16666666666666666
44,KRT18,1,58,58.0,58.0,58,0.0117506061776958,0.16666666666666666
45,KRT19,1,54,54.0,54.0,54,0.0095676759050952,0.16666666666666666
46,MUC1,1,52,52.0,52.0,52,0.0102648318458635,0.16666666666666666
47,FN1,1,50,50.0,50.0,50,0.0053205399215221,0.16666666666666666
48,AGR2,1,49,49.0,49.0,49,0.0102066485477345,0.16666666666666666
49,GPR174,1,49,49.0,49.0,49,0.0220054264883605,0.16666666666666666
50,GZMK,1,46,46.0,46.0,46,0.0188376945645912,0.16666666666666666
51,KRT8,1,45,45.0,45.0,45,0.0079692236251301,0.16666666666666666
52,DCN,1,44,44.0,44.0,44,0.0834205902435562,0.16666666666666666
53,MATR3,1,43,43.0,43.0,43,0.0151934897483781,0.16666666666666666
54,KRT17,1,41,41.0,41.0,41,0.2950160585162116,0.16666666666666666
55,ACKR1,1,36,36.0,36.0,36,0.0289762529234091,0.16666666666666666
56,TPSB2,1,36,36.0,36.0,36,0.0236040073343449,0.16666666666666666
57,S100A2,1,35,35.0,35.0,35,0.220367592466729,0.16666666666666666
58,S100A7,1,35,35.0,35.0,35,0.1562121567981583,0.16666666666666666
59,SELENOP,1,34,34.0,34.0,34,0.0058242853950051,0.16666666666666666
60,SLC34A2,1,34,34.0,34.0,34,0.0093078173916129,0.16666666666666666
61,KRT7,1,32,32.0,32.0,32,0.0075613161316141,0.16666666666666666
62,PLA2G2A,1,32,32.0,32.0,32,0.018008017912507,0.16666666666666666
63,CCN1,1,31,31.0,31.0,31,0.0195541410676894,0.16666666666666666
64,MDK,1,31,31.0,31.0,31,0.0069909974211646,0.16666666666666666
65,FAM89B,1,30,30.0,30.0,30,0.005204830567042,0.16666666666666666
66,CXCL8,1,28,28.0,28.0,28,0.0454122625025255,0.16666666666666666
67,IGFBP6,1,28,28.0,28.0,28,0.0353466179221868,0.16666666666666666
68,MMP12,1,28,28.0,28.0,28,0.3260396519409759,0.16666666666666666
69,PRICKLE4,1,28,28.0,28.0,28,0.0135886280664375,0.16666666666666666
70,TRAPPC5,1,28,28.0,28.0,28,0.009050487141524,0.16666666666666666
71,IL1R2,1,27,27.0,27.0,27,0.0194430518895387,0.16666666666666666
72,MNDA,1,26,26.0,26.0,26,0.0144314544561963,0.16666666666666666
73,PDCD7,1,26,26.0,26.0,26,0.0073136480954977,0.16666666666666666
74,PIGR,1,25,25.0,25.0,25,0.0147467163950204,0.16666666666666666
