comparison,comparison_label,source,goal,token,Ensembl_ID,Gene_name,n_donors_evaluable,n_donors_nonzero,n_cells_total,median_cells_per_donor,median_donor_effect,mean_donor_effect,min_donor_effect,max_donor_effect,n_donors_positive,n_donors_negative,sign_concordance,bootstrap_ci_low,bootstrap_ci_high,ci_excludes_zero,same_direction_pass_70
luad_to_lusc,LUAD → LUSC,luad,lusc,12184,ENSG00000168631,MUCL3,2,2,2,1.0,0.105373035185039,0.105373035185039,0.0253219809383153,0.1854240894317627,2,0,1.0,0.0253219809383153,0.1854240894317627,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,9411,ENSG00000152503,TRIM36,1,1,1,1.0,0.0999256372451782,0.0999256372451782,0.0999256372451782,0.0999256372451782,1,0,1.0,0.0999256372451782,0.0999256372451782,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,9376,ENSG00000152253,SPC25,1,1,1,1.0,0.0961473584175109,0.0961473584175109,0.0961473584175109,0.0961473584175109,1,0,1.0,0.0961473584175109,0.0961473584175109,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,330,ENSG00000013293,SLC7A14,1,1,1,1.0,0.0826664566993713,0.0826664566993713,0.0826664566993713,0.0826664566993713,1,0,1.0,0.0826664566993713,0.0826664566993713,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,12124,ENSG00000168356,SCN11A,1,1,1,1.0,0.0711528584361076,0.0711528584361076,0.0711528584361076,0.0711528584361076,1,0,1.0,0.0711528584361076,0.0711528584361076,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,7706,ENSG00000139352,ASCL1,1,1,1,1.0,0.0699289441108703,0.0699289441108703,0.0699289441108703,0.0699289441108703,1,0,1.0,0.0699289441108703,0.0699289441108703,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,11524,ENSG00000165923,AGBL2,1,1,1,1.0,0.0690955929458141,0.0690955929458141,0.0690955929458141,0.0690955929458141,1,0,1.0,0.0690955929458141,0.0690955929458141,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,19612,ENSG00000278588,H2BC10,1,1,1,1.0,0.0551904141902923,0.0551904141902923,0.0551904141902923,0.0551904141902923,1,0,1.0,0.0551904141902923,0.0551904141902923,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,15058,ENSG00000184378,ACTRT3,2,2,2,1.0,0.0507646203041076,0.0507646203041076,0.0002868175506591,0.1012424230575561,2,0,1.0,0.0002868175506591,0.1012424230575561,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,8156,ENSG00000142675,CNKSR1,1,1,1,1.0,0.0474160909652709,0.0474160909652709,0.0474160909652709,0.0474160909652709,1,0,1.0,0.0474160909652709,0.0474160909652709,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,9737,ENSG00000155622,XAGE2,1,1,1,1.0,0.0465680323541164,0.0465680323541164,0.0465680323541164,0.0465680323541164,1,0,1.0,0.0465680323541164,0.0465680323541164,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,12284,ENSG00000169083,AR,1,1,1,1.0,0.0462202727794647,0.0462202727794647,0.0462202727794647,0.0462202727794647,1,0,1.0,0.0462202727794647,0.0462202727794647,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,17304,ENSG00000205129,CFAP96,2,2,2,1.0,0.0458727926015853,0.0458727926015853,-0.0029393136501312,0.094684898853302,1,1,0.5,-0.0029393136501312,0.094684898853302,False,False
luad_to_lusc,LUAD → LUSC,luad,lusc,18612,ENSG00000253304,TMEM200B,1,1,1,1.0,0.0449228584766387,0.0449228584766387,0.0449228584766387,0.0449228584766387,1,0,1.0,0.0449228584766387,0.0449228584766387,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,18893,ENSG00000259120,SMIM6,1,1,1,1.0,0.0437880754470825,0.0437880754470825,0.0437880754470825,0.0437880754470825,1,0,1.0,0.0437880754470825,0.0437880754470825,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,3520,ENSG00000108576,SLC6A4,1,1,1,1.0,0.0435040444135665,0.0435040444135665,0.0435040444135665,0.0435040444135665,1,0,1.0,0.0435040444135665,0.0435040444135665,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,2072,ENSG00000099256,PRTFDC1,1,1,2,2.0,0.0430759936571121,0.0430759936571121,0.0430759936571121,0.0430759936571121,1,0,1.0,0.0430759936571121,0.0430759936571121,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,11078,ENSG00000164124,TMEM144,1,1,1,1.0,0.0429305247962474,0.0429305247962474,0.0429305247962474,0.0429305247962474,1,0,1.0,0.0429305247962474,0.0429305247962474,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,396,ENSG00000019991,HGF,1,1,1,1.0,0.0424277335405349,0.0424277335405349,0.0424277335405349,0.0424277335405349,1,0,1.0,0.0424277335405349,0.0424277335405349,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,8107,ENSG00000142273,CBLC,2,2,2,1.0,0.0416181236505508,0.0416181236505508,-0.0089560449123382,0.0921922922134399,1,1,0.5,-0.0089560449123382,0.0921922922134399,False,False
luad_to_lusc,LUAD → LUSC,luad,lusc,9607,ENSG00000154269,ENPP3,1,1,1,1.0,0.0409291684627532,0.0409291684627532,0.0409291684627532,0.0409291684627532,1,0,1.0,0.0409291684627532,0.0409291684627532,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,17678,ENSG00000214491,SEC14L6,1,1,1,1.0,0.0409140586853027,0.0409140586853027,0.0409140586853027,0.0409140586853027,1,0,1.0,0.0409140586853027,0.0409140586853027,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,18469,ENSG00000244734,HBB,18,18,178,10.5,0.0397647828879681,0.0390339975442678,-0.0111125508944193,0.1063472885977138,16,2,0.8888888888888888,0.0262656917902748,0.0520956835984706,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,16998,ENSG00000203797,DDO,1,1,1,1.0,0.0394724905490875,0.0394724905490875,0.0394724905490875,0.0394724905490875,1,0,1.0,0.0394724905490875,0.0394724905490875,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,12615,ENSG00000170561,IRX2,2,2,2,1.0,0.0387195348739624,0.0387195348739624,0.0375324785709381,0.0399065911769866,2,0,1.0,0.0375324785709381,0.0399065911769866,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,19071,ENSG00000265817,FSBP,1,1,1,1.0,0.0384722650051116,0.0384722650051116,0.0384722650051116,0.0384722650051116,1,0,1.0,0.0384722650051116,0.0384722650051116,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,9034,ENSG00000149054,ZNF215,1,1,1,1.0,0.0378097593784332,0.0378097593784332,0.0378097593784332,0.0378097593784332,1,0,1.0,0.0378097593784332,0.0378097593784332,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,15083,ENSG00000184500,PROS1,1,1,1,1.0,0.0376680493354797,0.0376680493354797,0.0376680493354797,0.0376680493354797,1,0,1.0,0.0376680493354797,0.0376680493354797,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,4230,ENSG00000114251,WNT5A,2,2,2,1.0,0.0365491285920143,0.0365491285920143,-0.037965789437294,0.1110640466213226,1,1,0.5,-0.037965789437294,0.1110640466213226,False,False
luad_to_lusc,LUAD → LUSC,luad,lusc,7642,ENSG00000138823,MTTP,1,1,1,1.0,0.0355694442987442,0.0355694442987442,0.0355694442987442,0.0355694442987442,1,0,1.0,0.0355694442987442,0.0355694442987442,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,2108,ENSG00000099822,HCN2,1,1,1,1.0,0.0349324345588684,0.0349324345588684,0.0349324345588684,0.0349324345588684,1,0,1.0,0.0349324345588684,0.0349324345588684,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,19364,ENSG00000273706,LHX1,1,1,1,1.0,0.0342759788036346,0.0342759788036346,0.0342759788036346,0.0342759788036346,1,0,1.0,0.0342759788036346,0.0342759788036346,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,10962,ENSG00000163815,CLEC3B,1,1,1,1.0,0.0338297262787818,0.0338297262787818,0.0338297262787818,0.0338297262787818,1,0,1.0,0.0338297262787818,0.0338297262787818,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,6251,ENSG00000130762,ARHGEF16,1,1,1,1.0,0.0338168647140264,0.0338168647140264,0.0338168647140264,0.0338168647140264,1,0,1.0,0.0338168647140264,0.0338168647140264,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,2740,ENSG00000103067,ESRP2,1,1,1,1.0,0.033479519188404,0.033479519188404,0.033479519188404,0.033479519188404,1,0,1.0,0.033479519188404,0.033479519188404,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,5337,ENSG00000123496,IL13RA2,1,1,1,1.0,0.0333275943994522,0.0333275943994522,0.0333275943994522,0.0333275943994522,1,0,1.0,0.0333275943994522,0.0333275943994522,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,15821,ENSG00000188051,TMEM221,1,1,1,1.0,0.0327629521489143,0.0327629521489143,0.0327629521489143,0.0327629521489143,1,0,1.0,0.0327629521489143,0.0327629521489143,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,60,ENSG00000004776,HSPB6,1,1,1,1.0,0.0324751138687133,0.0324751138687133,0.0324751138687133,0.0324751138687133,1,0,1.0,0.0324751138687133,0.0324751138687133,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,6310,ENSG00000131080,EDA2R,1,1,1,1.0,0.0313570499420166,0.0313570499420166,0.0313570499420166,0.0313570499420166,1,0,1.0,0.0313570499420166,0.0313570499420166,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,11225,ENSG00000164683,HEY1,1,1,1,1.0,0.0312801599502563,0.0312801599502563,0.0312801599502563,0.0312801599502563,1,0,1.0,0.0312801599502563,0.0312801599502563,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,6277,ENSG00000130881,LRP3,1,1,1,1.0,0.0305915474891662,0.0305915474891662,0.0305915474891662,0.0305915474891662,1,0,1.0,0.0305915474891662,0.0305915474891662,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,19160,ENSG00000268223,ARL14EPL,1,1,1,1.0,0.0301524251699447,0.0301524251699447,0.0301524251699447,0.0301524251699447,1,0,1.0,0.0301524251699447,0.0301524251699447,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,11392,ENSG00000165376,CLDN2,2,2,2,1.0,0.0299833714962005,0.0299833714962005,0.0279837846755981,0.0319829583168029,2,0,1.0,0.0279837846755981,0.0319829583168029,True,True
luad_to_lusc,LUAD → LUSC,luad,lusc,6514,ENSG00000132535,DLG4,1,1,1,1.0,0.0299085229635238,0.0299085229635238,0.0299085229635238,0.0299085229635238,1,0,1.0,0.0299085229635238,0.0299085229635238,True,True
