comparison_label,Gene_name,Ensembl_ID,min_donors_required,n_donors_evaluable,donor_supported,n_cells_total,median_donor_effect,sign_concordance,ci_excludes_zero,same_direction_pass_70,evaluable_for_direction_gate
LUAD → LUSC,HBB,ENSG00000244734,10,18,True,178,0.039764782887968156,0.8888888888888888,True,True,True
LUAD → LUSC,SFTPB,ENSG00000168878,10,16,True,126,0.0176942389966412,1.0,True,True,True
LUAD → LUSC,SFTPC,ENSG00000168484,10,18,True,314,-0.03321926522617921,0.9444444444444444,True,True,True
LUAD → LUSC,NAPSA,ENSG00000131400,10,15,True,99,0.009039112987617651,1.0,True,True,True
LUAD → LUSC,TRAPPC5,ENSG00000181029,10,12,True,28,0.010211542248725891,0.75,False,True,True
LUAD → LUSC,HSPA1B,ENSG00000204388,10,18,True,270,-0.005354186131254487,0.8333333333333334,True,True,True
LUAD → LUSC,RAB4B,ENSG00000167578,10,18,True,84,0.009919569517175358,0.9444444444444444,True,True,True
LUAD → LUSC,SCGB3A1,ENSG00000161055,10,17,True,176,0.01061780129869779,1.0,True,True,True
LUAD → LUSC,NME2,ENSG00000243678,10,16,True,65,0.0133070705148081,0.875,True,True,True
LUAD → LUSC,RAD50,ENSG00000113522,10,17,True,98,0.003962549567222595,0.8823529411764706,True,True,True
LUAD → LUSC,SELENOP,ENSG00000250722,10,15,True,34,0.0018472075462341309,0.6,False,False,True
LUAD → LUSC,S100A4,ENSG00000196154,10,19,True,1135,0.004883695174666012,0.9473684210526315,True,True,True
LUAD → LUSC,GABPB1,ENSG00000104064,10,17,True,248,0.004013717174530029,1.0,True,True,True
LUAD → LUSC,FN1,ENSG00000115414,10,17,True,50,0.004231512546539307,0.7647058823529411,True,True,True
LUAD → LUSC,IFNAR2,ENSG00000159110,10,18,True,95,0.004402940471967061,0.8888888888888888,True,True,True
LUAD → NORMAL,PIGR,ENSG00000162896,10,12,True,25,0.02119180498023828,0.9166666666666666,True,True,True
LUAD → NORMAL,EEF1G,ENSG00000254772,10,18,True,196,-0.0016050072386860847,0.6111111111111112,False,False,True
LUAD → NORMAL,KRT18,ENSG00000111057,10,16,True,58,0.01929579395800829,0.9375,True,True,True
LUAD → NORMAL,MUC1,ENSG00000185499,10,17,True,52,0.015708551928400993,0.8823529411764706,True,True,True
LUAD → NORMAL,AGR2,ENSG00000106541,10,15,True,49,0.014171688351780176,0.8666666666666667,True,True,True
LUAD → NORMAL,WFDC2,ENSG00000101443,10,15,True,72,0.015236392617225647,1.0,True,True,True
LUAD → NORMAL,KRT19,ENSG00000171345,10,16,True,54,0.011210771277546883,0.9375,True,True,True
LUAD → NORMAL,SLC34A2,ENSG00000157765,10,14,True,34,0.017077760150035225,0.9285714285714286,True,True,True
LUAD → NORMAL,SCGB3A2,ENSG00000164265,10,17,True,100,0.013769025603930155,0.9411764705882353,True,True,True
LUAD → NORMAL,KRT8,ENSG00000170421,10,13,True,45,0.011139344424009323,1.0,True,True,True
LUAD → NORMAL,KRT7,ENSG00000135480,10,13,True,32,0.01913614571094513,1.0,True,True,True
LUAD → NORMAL,BTG1,ENSG00000133639,10,19,True,1330,0.00699181813787628,1.0,True,True,True
LUAD → NORMAL,POLR2J3,ENSG00000168255,10,17,True,335,0.00880060779551665,1.0,True,True,True
LUAD → NORMAL,HBA1,ENSG00000206172,10,16,True,84,-0.016479587980679104,0.9375,True,True,True
LUAD → NORMAL,MDK,ENSG00000110492,10,12,True,31,0.011039158329367638,0.9166666666666666,True,True,True
LUSC → LUAD,MMP12,ENSG00000262406,3,2,False,28,0.6111459032717077,1.0,True,True,False
LUSC → LUAD,KRT17,ENSG00000128422,3,3,True,41,0.4959722006399381,1.0,True,True,True
LUSC → LUAD,S100A2,ENSG00000196754,3,3,True,35,0.24619649723172188,1.0,True,True,True
LUSC → LUAD,S100A7,ENSG00000143556,3,3,True,35,0.2659674510359764,1.0,True,True,True
LUSC → LUAD,HBA2,ENSG00000188536,3,3,True,135,0.10101005658507348,1.0,True,True,True
