Gene_name,Ensembl_ID,n_comparisons,donor_supported_in_all,ambient_risk,ambient_pct,detect_frac,log_subtype_f,log_donor_f,ambient_flag
HBA1,ENSG00000206172,2,True,0.9867545283658752,99.98257687951913,0.036,0.715606840452006,4.7859325652130424,AMBIENT_RISK
PRICKLE4,ENSG00000278224,1,True,0.9822386927081262,99.96515375903824,0.008666666666666666,0.0371771697006008,2.208569206892186,AMBIENT_RISK
HBA2,ENSG00000188536,2,True,0.977993497827662,99.85190347591254,0.05619047619047619,1.3582188887442574,4.971870893640199,AMBIENT_RISK
PLA2G2A,ENSG00000188257,1,True,0.9722180542810305,99.47730638557366,0.0054761904761904765,0.739177085090598,2.6166512689784827,AMBIENT_RISK
PIGR,ENSG00000162896,1,True,0.9690456591752123,99.20724801812004,0.009523809523809525,0.04977195715419365,2.032601878354984,AMBIENT_RISK
SFTPA1,ENSG00000122852,2,True,0.964655358879634,98.44063071696141,0.052476190476190475,0.3206313220075788,3.488660732715927,AMBIENT_RISK
S100A9,ENSG00000163220,1,True,0.963045390616246,98.05732206638208,0.11157142857142857,0.19944131406186397,3.440762877165083,AMBIENT_RISK
CCN1,ENSG00000142871,1,True,0.9613837155545516,97.56076313267707,0.006142857142857143,0.14952969841684915,1.473649773159315,AMBIENT_RISK
NAPSA,ENSG00000131400,1,True,0.9603716745946281,97.39524348810872,0.03019047619047619,2.241824399440927,3.0909433520501945,AMBIENT_RISK
RAD50,ENSG00000113522,2,True,0.9562250578616589,96.15820193396637,0.05095238095238095,0.0547459993215244,1.9613579025680332,AMBIENT_RISK
PABPC3,ENSG00000151846,1,True,0.9557989336701003,96.01881697011935,0.016047619047619047,3.2130846985188533,3.0369001192513054,AMBIENT_RISK
SCGB3A2,ENSG00000164265,1,True,0.9531273047393212,95.10410314487324,0.041,2.993865887312851,3.964640772210316,AMBIENT_RISK
IGFBP6,ENSG00000167779,1,True,0.9500612666370054,94.067427476261,0.01361904761904762,0.8155233162401844,1.6051493931658543,AMBIENT_RISK
KRT7,ENSG00000135480,1,True,0.9489237546176912,93.75381130760519,0.018285714285714287,1.5511305592919873,3.2077300625262244,AMBIENT_RISK
TRAPPC5,ENSG00000181029,1,True,0.9488848304303464,93.72767662688388,0.04414285714285714,1.7287203418922121,2.893281214057114,AMBIENT_RISK
KRT17,ENSG00000128422,1,True,0.947633123983535,93.2659639341406,0.013,0.8170974630535759,2.720016000895697,AMBIENT_RISK
SFTPB,ENSG00000168878,2,True,0.947265010085993,93.12657897029358,0.08085714285714286,0.00014186252048010057,3.2307327343136545,AMBIENT_RISK
IL1R2,ENSG00000115590,1,True,0.9456246421342823,92.56032755466505,0.009857142857142858,0.2906779650804993,1.7250065392007163,AMBIENT_RISK
MDK,ENSG00000110492,1,True,0.9410797549864662,90.73089990417283,0.01861904761904762,1.8599742258460734,2.664384462700506,AMBIENT_RISK
NME2,ENSG00000243678,1,True,0.9406454082578852,90.54795713912361,0.1199047619047619,0.38448369451972325,3.981242900598531,AMBIENT_RISK
AGR2,ENSG00000106541,1,True,0.9331822445423467,87.98675842843453,0.025523809523809525,2.950016654425904,3.7756051568059403,AMBIENT_RISK
TPSB2,ENSG00000197253,1,True,0.9252741632982825,85.5475215611116,0.017285714285714286,0.829244932437448,2.2087788688542056,AMBIENT_RISK
SLC34A2,ENSG00000157765,1,True,0.9225277535255592,84.67636553706768,0.013476190476190477,1.9035036640872833,2.074704858996428,AMBIENT_RISK
DCN,ENSG00000011465,1,True,0.9179561615027794,83.36091994076139,0.017,2.4772526367056225,2.230424700847763,AMBIENT_RISK
WFDC2,ENSG00000101443,1,True,0.91682230013744,83.03859221186515,0.03328571428571429,2.6592293263763964,3.127382218286824,AMBIENT_RISK
HBB,ENSG00000244734,2,True,0.9165156880166335,82.93405348897987,0.09352380952380952,1.757455542889925,4.601989086710244,AMBIENT_RISK
KRT8,ENSG00000170421,1,True,0.9158384458637759,82.69884136248803,0.025476190476190475,1.9854717523884753,2.132897417777454,AMBIENT_RISK
SFTPA2,ENSG00000185303,2,True,0.9135006179375936,82.00191654325289,0.05352380952380952,2.6608277407544016,3.389626352908058,AMBIENT_RISK
MUC1,ENSG00000185499,1,True,0.9062247082636697,80.07666173011586,0.017904761904761906,2.8409413653719575,2.187364411280013,AMBIENT_RISK
KRT18,ENSG00000111057,1,True,0.9025909769186944,79.0574091819845,0.030238095238095238,2.6367508538022113,2.4631345417157027,AMBIENT_RISK
FN1,ENSG00000115414,1,True,0.8995671255669193,78.18625315794058,0.038142857142857145,1.2470399516261907,2.105252465725234,AMBIENT_RISK
H1-10,ENSG00000184897,1,True,0.8990664991385952,77.9858872724105,0.1301904761904762,0.41695617893675285,2.4169399016954936,AMBIENT_RISK
MGP,ENSG00000111341,2,True,0.8901239076060987,75.72959317013677,0.031142857142857142,3.147956598071856,2.979629147010396,AMBIENT_RISK
SCGB3A1,ENSG00000161055,1,True,0.8853579056649348,74.44028225455179,0.09985714285714285,2.5820588554192714,4.540709597610511,AMBIENT_RISK
MMP12,ENSG00000262406,1,False,0.8789878521000787,72.72410488718529,0.005666666666666667,2.935125117358577,3.8335317128576927,AMBIENT_RISK
