comparison_label,Gene_name,Ensembl_ID,n_donors_evaluable,donor_supported,sign_concordance,ci_excludes_zero,same_direction_pass_70,lineage_flag,interpretation_class,classification_basis
LUAD → LUSC,FN1,ENSG00000115414,17,True,0.7647058823529411,True,True,unclassified,pending_requires_per_cell_contamination_scoring,not in the vetted anchor panel or explicit pattern - identity alone is insufficient
LUAD → LUSC,GABPB1,ENSG00000104064,17,True,1.0,True,True,unclassified,pending_requires_per_cell_contamination_scoring,not in the vetted anchor panel or explicit pattern - identity alone is insufficient
LUAD → LUSC,HBB,ENSG00000244734,18,True,0.8888888888888888,True,True,erythroid,4_ambient_doublet_sensitive,sibling-repo vetted ambient anchor (ambient_risk_diagnostic.py)
LUAD → LUSC,HSPA1B,ENSG00000204388,18,True,0.8333333333333334,True,True,ambient_pattern_match,4_ambient_doublet_sensitive,matches sibling-repo explicit ambient/stress/ribosomal pattern
LUAD → LUSC,IFNAR2,ENSG00000159110,18,True,0.8888888888888888,True,True,unclassified,pending_requires_per_cell_contamination_scoring,not in the vetted anchor panel or explicit pattern - identity alone is insufficient
LUAD → LUSC,NAPSA,ENSG00000131400,15,True,1.0,True,True,epithelial_alveolar,4_ambient_doublet_sensitive,sibling-repo vetted ambient anchor (ambient_risk_diagnostic.py)
LUAD → LUSC,NME2,ENSG00000243678,16,True,0.875,True,True,unclassified,pending_requires_per_cell_contamination_scoring,not in the vetted anchor panel or explicit pattern - identity alone is insufficient
LUAD → LUSC,RAB4B,ENSG00000167578,18,True,0.9444444444444444,True,True,unclassified,pending_requires_per_cell_contamination_scoring,not in the vetted anchor panel or explicit pattern - identity alone is insufficient
LUAD → LUSC,RAD50,ENSG00000113522,17,True,0.8823529411764706,True,True,unclassified,pending_requires_per_cell_contamination_scoring,not in the vetted anchor panel or explicit pattern - identity alone is insufficient
LUAD → LUSC,S100A4,ENSG00000196154,19,True,0.9473684210526316,True,True,ambient_pattern_match,4_ambient_doublet_sensitive,matches sibling-repo explicit ambient/stress/ribosomal pattern
LUAD → LUSC,SCGB3A1,ENSG00000161055,17,True,1.0,True,True,epithelial_alveolar,4_ambient_doublet_sensitive,sibling-repo vetted ambient anchor (ambient_risk_diagnostic.py)
LUAD → LUSC,SELENOP,ENSG00000250722,15,True,0.6,False,False,unclassified,pending_requires_per_cell_contamination_scoring,not in the vetted anchor panel or explicit pattern - identity alone is insufficient
LUAD → LUSC,SFTPB,ENSG00000168878,16,True,1.0,True,True,epithelial_alveolar,4_ambient_doublet_sensitive,sibling-repo vetted ambient anchor (ambient_risk_diagnostic.py)
LUAD → LUSC,SFTPC,ENSG00000168484,18,True,0.9444444444444444,True,True,epithelial_alveolar,4_ambient_doublet_sensitive,sibling-repo vetted ambient anchor (ambient_risk_diagnostic.py)
LUAD → LUSC,TRAPPC5,ENSG00000181029,12,True,0.75,False,True,unclassified,pending_requires_per_cell_contamination_scoring,not in the vetted anchor panel or explicit pattern - identity alone is insufficient
