comparison,comparison_label,source,term_id,term_name,adjusted_p_value,minus_log10_p,term_size,query_size,intersection_size,precision,recall,effective_domain_size,intersection_genes
luad_to_lusc,LUAD → LUSC,GO:BP,GO:0002181,cytoplasmic translation,4.121580093504229e-20,19.384936256216022,192,315,37,0.11746031746031746,0.19270833333333334,13553,EID1;EIF3H;EIF3K;EIF3M;EIF4A2;FAM120A;RGS2;RHOA;RHOF;RIPOR2;RORA;RPL12;RPL13A;RPL15;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL27;RPL31;RPL32;RPL34;RPL35;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL5;RPL6;RPL7A;RPL8;RPL9;RPS15A;RPS16;RPS2
luad_to_lusc,LUAD → LUSC,GO:BP,GO:0006412,translation,3.626476026932437e-12,11.440515189126092,624,315,51,0.1619047619047619,0.08173076923076923,13553,CFL1;CMPK1;EDF1;EEF1A1;EEF1B2;EID1;EIF3H;EIF3K;EIF3M;EIF4A2;FAM120A;FXYD5;MDFIC;MGAT4A;MGP;MYL6;NDUFC2;RAB4B;RGS2;RHOA;RHOF;RIPOR2;RORA;RPL12;RPL13A;RPL15;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL27;RPL27A;RPL31;RPL32;RPL34;RPL35;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL5;RPL6;RPL7A;RPL8;RPL9;RPS15A;RPS16;RPS2;S1PR4
luad_to_lusc,LUAD → LUSC,GO:BP,GO:0160307,protein biosynthetic process,3.626476026932437e-12,11.440515189126092,624,315,51,0.1619047619047619,0.08173076923076923,13553,CFL1;CMPK1;EDF1;EEF1A1;EEF1B2;EID1;EIF3H;EIF3K;EIF3M;EIF4A2;FAM120A;FXYD5;MDFIC;MGAT4A;MGP;MYL6;NDUFC2;RAB4B;RGS2;RHOA;RHOF;RIPOR2;RORA;RPL12;RPL13A;RPL15;RPL19;RPL21;RPL23;RPL23A;RPL24;RPL27;RPL27A;RPL31;RPL32;RPL34;RPL35;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL5;RPL6;RPL7A;RPL8;RPL9;RPS15A;RPS16;RPS2;S1PR4
luad_to_lusc,LUAD → LUSC,GO:BP,GO:0019646,aerobic electron transport chain,7.503715050069954e-11,10.124723666437617,75,315,18,0.05714285714285714,0.24,13553,COMMD6;COX4I1;COX5B;COX6B1;COX6C;COX7A2;COX7B;COX7C;N4BP2L2;NACA;NAPSA;NDUFA1;NDUFA2;NDUFA4;NDUFB4;NDUFB9;TRAT1;TRIR
luad_to_lusc,LUAD → LUSC,GO:BP,GO:0006119,oxidative phosphorylation,9.230335949851538e-11,10.034782491984753,125,315,22,0.06984126984126984,0.176,13553,ATP5F1D;ATP5MG;ATP5PD;COMMD6;COX4I1;COX5B;COX6B1;COX6C;COX7A2;COX7B;COX7C;N4BP2L2;NACA;NAPSA;NDUFA1;NDUFA2;NDUFA4;NDUFB4;NDUFB9;RAC1;TRAT1;TRIR
luad_to_lusc,LUAD → LUSC,GO:BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,1.8054357877095282e-10,9.743417953118811,81,315,18,0.05714285714285714,0.2222222222222222,13553,COMMD6;COX4I1;COX5B;COX6B1;COX6C;COX7A2;COX7B;COX7C;N4BP2L2;NACA;NAPSA;NDUFA1;NDUFA2;NDUFA4;NDUFB4;NDUFB9;TRAT1;TRIR
luad_to_lusc,LUAD → LUSC,GO:BP,GO:0042773,ATP synthesis coupled electron transport,1.8054357877095282e-10,9.743417953118811,81,315,18,0.05714285714285714,0.2222222222222222,13553,COMMD6;COX4I1;COX5B;COX6B1;COX6C;COX7A2;COX7B;COX7C;N4BP2L2;NACA;NAPSA;NDUFA1;NDUFA2;NDUFA4;NDUFB4;NDUFB9;TRAT1;TRIR
luad_to_lusc,LUAD → LUSC,GO:BP,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",1.7194735322049693e-09,8.764604504870057,14,315,9,0.02857142857142857,0.6428571428571429,13553,COMMD6;COX4I1;COX5B;COX6B1;COX6C;COX7A2;COX7B;COX7C;NAPSA
luad_to_lusc,LUAD → LUSC,GO:BP,GO:0022904,respiratory electron transport chain,3.0683787462829098e-09,8.5130910341401,96,315,18,0.05714285714285714,0.1875,13553,COMMD6;COX4I1;COX5B;COX6B1;COX6C;COX7A2;COX7B;COX7C;N4BP2L2;NACA;NAPSA;NDUFA1;NDUFA2;NDUFA4;NDUFB4;NDUFB9;TRAT1;TRIR
luad_to_lusc,LUAD → LUSC,GO:BP,GO:0022900,electron transport chain,1.1330922342272285e-08,7.94573473692781,104,315,18,0.05714285714285714,0.17307692307692307,13553,COMMD6;COX4I1;COX5B;COX6B1;COX6C;COX7A2;COX7B;COX7C;N4BP2L2;NACA;NAPSA;NDUFA1;NDUFA2;NDUFA4;NDUFB4;NDUFB9;TRAT1;TRIR
