comparison,comparison_label,theme,chart_label,best_adjusted_p_value,minus_log10_p,matching_term_count,representative_source,representative_term,intersection_size
luad_to_lusc,LUAD → LUSC,Translation / ribosome,LUAD → LUSC · Translation / ribosome,5.367150018056316e-32,31.27025626550978,21,REAC,L13a-mediated translational silencing of Ceruloplasmin expression,38
luad_to_lusc,LUAD → LUSC,Oxidative phosphorylation,LUAD → LUSC · Oxidative phosphorylation,5.726935428906593e-14,13.242077713521496,13,KEGG,Oxidative phosphorylation,23
luad_to_lusc,LUAD → LUSC,Immune / cytokine,LUAD → LUSC · Immune / cytokine,1.647066020677492e-06,5.783288992304885,53,GO:BP,immune system process,89
luad_to_lusc,LUAD → LUSC,IL-17 / inflammation,LUAD → LUSC · IL-17 / inflammation,0.00011696447788900289,3.931946013460274,1,REAC,Neutrophil degranulation,26
luad_to_lusc,LUAD → LUSC,Antigen processing,LUAD → LUSC · Antigen processing,0.002499899409951748,2.602077465960676,7,KEGG,Antigen processing and presentation,8
luad_to_lusc,LUAD → LUSC,Cellular stress,LUAD → LUSC · Cellular stress,0.006990365500779788,2.1555001159822322,1,GO:BP,response to stress,101
luad_to_normal,LUAD → NORMAL,Translation / ribosome,LUAD → NORMAL · Translation / ribosome,5.84141339606864e-58,57.23348205770853,32,REAC,Eukaryotic Translation Elongation,54
luad_to_normal,LUAD → NORMAL,Immune / cytokine,LUAD → NORMAL · Immune / cytokine,1.4883815122575456e-19,18.827285733150905,128,GO:BP,immune response,108
luad_to_normal,LUAD → NORMAL,Cellular stress,LUAD → NORMAL · Cellular stress,2.9075496234371723e-08,7.536472864389358,3,GO:BP,response to stress,142
luad_to_normal,LUAD → NORMAL,Antigen processing,LUAD → NORMAL · Antigen processing,1.8771460419271464e-06,5.726501937961615,29,KEGG,Antigen processing and presentation,13
luad_to_normal,LUAD → NORMAL,IL-17 / inflammation,LUAD → NORMAL · IL-17 / inflammation,0.00012728299981014707,3.89522959777347,10,GO:BP,inflammatory response,41
lusc_to_luad,LUSC → LUAD,Translation / ribosome,LUSC → LUAD · Translation / ribosome,1.1493835812141229e-10,9.939535010994765,23,REAC,Eukaryotic Translation Elongation,15
lusc_to_luad,LUSC → LUAD,Immune / cytokine,LUSC → LUAD · Immune / cytokine,4.2550418224363295e-07,6.371096166915691,59,GO:BP,immune response,43
lusc_to_luad,LUSC → LUAD,Cellular stress,LUSC → LUAD · Cellular stress,0.00035580158899059245,3.4487921167121693,2,GO:BP,response to stress,58
